Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDU02,13.35,Low Fat,10.3,Dairy,230.64,OUT046,1997,Small,Tier 1,Supermarket Type1,3436.0
FDK43,9.8,Low Fat,2.7,Meat,126.0,OUT013,1987,High,Tier 3,Supermarket Type1,2151.0
FDA46,13.6,Low Fat,11.8,Snack Foods,192.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.0
FDC02,21.35,Low Fat,6.9,Canned,259.93,OUT018,2009,Medium,Tier 3,Supermarket Type2,6769.0
FDL50,12.15,Regular,4.2,Canned,126.5,OUT013,1987,High,Tier 3,Supermarket Type1,374.0
FDM39,6.42,LF,8.9,Dairy,178.1,OUT010,1998,,Tier 3,Grocery Store,358.0
NCP05,19.6,Low Fat,0.0,Health and Hygiene,153.3,OUT045,2002,,Tier 2,Supermarket Type1,2429.0
FDV49,10.0,Low Fat,2.6,Canned,265.22,OUT045,2002,,Tier 2,Supermarket Type1,5815.0
FDL12,15.85,Regular,12.2,Baking Goods,60.62,OUT046,1997,Small,Tier 1,Supermarket Type1,2577.0
FDS02,,Regular,25.5,Dairy,196.88,OUT019,1985,Small,Tier 1,Grocery Store,780.0
NCL17,7.39,Low Fat,6.8,Health and Hygiene,143.88,OUT046,1997,Small,Tier 1,Supermarket Type1,3135.0
FDM40,10.195,Low Fat,16.0,Frozen Foods,141.52,OUT013,1987,High,Tier 3,Supermarket Type1,851.0
FDR13,9.895,Regular,2.9,Canned,117.05,OUT013,1987,High,Tier 3,Supermarket Type1,811.0
FDA43,10.895,Low Fat,6.5,Fruits and Vegetables,196.38,OUT017,2007,,Tier 2,Supermarket Type1,3121.0
NCP18,12.15,Low Fat,2.9,Household,151.47,OUT017,2007,,Tier 2,Supermarket Type1,4815.0
FDK21,7.905,Low Fat,1.0,Snack Foods,249.04,OUT018,2009,Medium,Tier 3,Supermarket Type2,6259.0
NCX54,9.195,Low Fat,4.8,Household,106.16,OUT045,2002,,Tier 2,Supermarket Type1,2117.0
DRK35,8.365,Low Fat,7.2,Hard Drinks,38.05,OUT049,1999,Medium,Tier 1,Supermarket Type1,797.0
FDY21,15.1,Low Fat,17.3,Snack Foods,194.51,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.0
FDI26,,Low Fat,6.1,Canned,180.03,OUT019,1985,Small,Tier 1,Grocery Store,892.0
FDM20,10.0,Low Fat,0.0,Fruits and Vegetables,246.91,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.0
FDV27,7.97,Regular,4.0,Meat,87.35,OUT045,2002,,Tier 2,Supermarket Type1,1063.0
FDF09,,Low Fat,1.2,Fruits and Vegetables,38.28,OUT027,1985,Medium,Tier 3,Supermarket Type3,485.0
FDY40,,Regular,15.0,Frozen Foods,51.07,OUT019,1985,Small,Tier 1,Grocery Store,148.0
FDY45,,Low Fat,2.6,Snack Foods,255.84,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.0
FDC46,17.7,LF,19.5,Snack Foods,185.43,OUT010,1998,,Tier 3,Grocery Store,184.0
FDH19,19.35,Low Fat,3.3,Meat,172.57,OUT035,2004,Small,Tier 2,Supermarket Type1,4866.0
FDZ03,13.65,Regular,7.9,Dairy,186.02,OUT045,2002,,Tier 2,Supermarket Type1,1119.0
DRH37,17.6,Low Fat,4.2,Soft Drinks,164.85,OUT045,2002,,Tier 2,Supermarket Type1,2302.0
NCI17,8.645,Low Fat,14.3,Health and Hygiene,95.84,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.0
FDJ58,15.6,Regular,10.5,Snack Foods,170.18,OUT046,1997,Small,Tier 1,Supermarket Type1,3436.0
FDL12,15.85,Regular,12.2,Baking Goods,59.22,OUT013,1987,High,Tier 3,Supermarket Type1,599.0
FDH35,18.25,Low Fat,0.0,Starchy Foods,164.75,OUT045,2002,,Tier 2,Supermarket Type1,4605.0
FDG02,7.855,Low Fat,1.1,Canned,189.62,OUT017,2007,,Tier 2,Supermarket Type1,2285.0
NCZ18,7.825,low fat,18.6,Household,254.37,OUT049,1999,Medium,Tier 1,Supermarket Type1,5581.0
FDC29,8.39,Regular,2.4,Frozen Foods,114.02,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.0
FDQ10,12.85,Low Fat,3.3,Snack Foods,172.34,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0
FDN48,,Low Fat,11.4,Baking Goods,89.98,OUT019,1985,Small,Tier 1,Grocery Store,643.0
FDL04,19.0,Low Fat,11.3,Frozen Foods,104.96,OUT017,2007,,Tier 2,Supermarket Type1,1588.0
FDV25,5.905,Low Fat,0.0,Canned,222.55,OUT045,2002,,Tier 2,Supermarket Type1,5305.0
FDD58,7.76,Low Fat,5.9,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1698.0
FDN04,11.8,reg,1.4,Frozen Foods,180.33,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.0
FDV45,16.75,low fat,4.5,Snack Foods,187.96,OUT018,2009,Medium,Tier 3,Supermarket Type2,4694.0
NCL18,,Low Fat,29.3,Household,194.61,OUT019,1985,Small,Tier 1,Grocery Store,583.0
FDR12,,Regular,3.1,Baking Goods,171.38,OUT027,1985,Medium,Tier 3,Supermarket Type3,3092.0
FDG20,15.5,Regular,12.6,Fruits and Vegetables,177.0,OUT017,2007,,Tier 2,Supermarket Type1,2479.0
FDZ55,6.055,Low Fat,2.5,Fruits and Vegetables,160.99,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.0
FDQ49,,Regular,3.9,Breakfast,155.96,OUT027,1985,Medium,Tier 3,Supermarket Type3,3286.0
FDN33,6.305,Regular,12.3,Snack Foods,95.64,OUT046,1997,Small,Tier 1,Supermarket Type1,662.0
FDN27,20.85,Low Fat,4.0,Meat,117.28,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.0
FDW20,20.75,Low Fat,4.0,Fruits and Vegetables,122.17,OUT010,1998,,Tier 3,Grocery Store,370.0
DRG27,8.895,Low Fat,10.5,Dairy,39.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.0
DRI25,19.6,Low Fat,3.4,Soft Drinks,55.16,OUT045,2002,,Tier 2,Supermarket Type1,1382.0
FDA44,19.7,Low Fat,5.3,Fruits and Vegetables,57.89,OUT035,2004,Small,Tier 2,Supermarket Type1,623.0
NCR17,9.8,Low Fat,2.4,Health and Hygiene,114.55,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.0
FDU04,,Low Fat,1.0,Frozen Foods,120.04,OUT019,1985,Small,Tier 1,Grocery Store,487.0
FDF41,12.15,Low Fat,13.1,Frozen Foods,246.05,OUT049,1999,Medium,Tier 1,Supermarket Type1,1232.0
FDB56,8.75,Regular,7.5,Fruits and Vegetables,187.46,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.0
NCP18,,Low Fat,2.8,Household,149.97,OUT027,1985,Medium,Tier 3,Supermarket Type3,4364.0
FDB56,8.75,Regular,7.5,Fruits and Vegetables,187.86,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.0
FDT28,13.3,Low Fat,6.4,Frozen Foods,151.07,OUT045,2002,,Tier 2,Supermarket Type1,1806.0
FDD10,,Regular,4.6,Snack Foods,178.53,OUT027,1985,Medium,Tier 3,Supermarket Type3,2855.0
FDW57,8.31,Regular,11.6,Snack Foods,179.1,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.0
DRB48,16.75,Regular,2.5,Soft Drinks,38.78,OUT013,1987,High,Tier 3,Supermarket Type1,668.0
FDP09,19.75,Low Fat,3.4,Snack Foods,212.09,OUT018,2009,Medium,Tier 3,Supermarket Type2,3186.0
FDH14,17.1,Regular,4.7,Canned,141.18,OUT013,1987,High,Tier 3,Supermarket Type1,2248.0
FDA47,10.5,Regular,11.7,Baking Goods,163.12,OUT013,1987,High,Tier 3,Supermarket Type1,1794.0
FDG12,6.635,Regular,0.0,Baking Goods,121.31,OUT045,2002,,Tier 2,Supermarket Type1,2531.0
DRE60,,low fat,27.9,Soft Drinks,225.37,OUT019,1985,Small,Tier 1,Grocery Store,679.0
DRK49,14.15,Low Fat,3.6,Soft Drinks,41.41,OUT013,1987,High,Tier 3,Supermarket Type1,812.0
FDD03,13.3,Low Fat,8.0,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.0
FDS52,8.89,low fat,0.6,Frozen Foods,102.4,OUT017,2007,,Tier 2,Supermarket Type1,2732.0
FDW39,,Regular,6.5,Meat,176.94,OUT019,1985,Small,Tier 1,Grocery Store,176.0
FDX34,,Low Fat,7.2,Snack Foods,121.71,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.0
FDV11,9.1,Regular,0.0,Breads,173.21,OUT045,2002,,Tier 2,Supermarket Type1,3152.0
FDD17,7.5,Low Fat,3.3,Frozen Foods,239.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.0
FDZ16,16.85,Regular,16.1,Frozen Foods,192.45,OUT017,2007,,Tier 2,Supermarket Type1,4844.0
FDZ46,7.485,Low Fat,6.9,Snack Foods,109.02,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0
DRA12,11.6,Low Fat,4.1,Soft Drinks,140.32,OUT017,2007,,Tier 2,Supermarket Type1,2553.0
FDY58,11.65,Low Fat,4.0,Snack Foods,227.07,OUT018,2009,Medium,Tier 3,Supermarket Type2,1142.0
NCF19,13.0,Low Fat,3.5,Household,47.5,OUT017,2007,,Tier 2,Supermarket Type1,680.0
DRJ13,12.65,LF,6.3,Soft Drinks,159.06,OUT045,2002,,Tier 2,Supermarket Type1,2086.0
FDB14,20.25,Regular,17.2,Canned,92.51,OUT010,1998,,Tier 3,Grocery Store,186.0
FDJ38,8.6,Regular,4.0,Canned,190.15,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.0
FDW11,12.6,Low Fat,4.9,Breads,62.72,OUT017,2007,,Tier 2,Supermarket Type1,867.0
FDL40,17.7,Low Fat,1.2,Frozen Foods,95.04,OUT035,2004,Small,Tier 2,Supermarket Type1,869.0
DRI49,14.15,Low Fat,18.4,Soft Drinks,82.43,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.0
FDV38,19.25,Low Fat,10.2,Dairy,52.8,OUT017,2007,,Tier 2,Supermarket Type1,928.0
DRG23,8.88,Low Fat,8.7,Hard Drinks,151.77,OUT013,1987,High,Tier 3,Supermarket Type1,762.0
NCP30,20.5,Low Fat,3.3,Household,40.28,OUT045,2002,,Tier 2,Supermarket Type1,707.0
FDY25,,Low Fat,3.4,Canned,180.6,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968.0
NCH54,13.5,Low Fat,7.3,Household,160.29,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.0
NCR53,,Low Fat,14.4,Health and Hygiene,224.44,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.0
FDS52,8.89,Low Fat,0.9,Frozen Foods,101.7,OUT010,1998,,Tier 3,Grocery Store,101.0
FDG02,7.855,Low Fat,1.1,Canned,188.52,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.0
NCO26,7.235,Low Fat,7.7,Household,116.05,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.0
FDH35,,Low Fat,6.0,Starchy Foods,165.45,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.0
FDB51,6.92,Low Fat,3.9,Dairy,60.59,OUT045,2002,,Tier 2,Supermarket Type1,1314.0
FDX44,9.3,Low Fat,4.3,Fruits and Vegetables,90.82,OUT017,2007,,Tier 2,Supermarket Type1,535.0
NCN07,18.5,Low Fat,5.7,Others,132.13,OUT010,1998,,Tier 3,Grocery Store,264.0
NCC31,8.02,Low Fat,2.0,Household,154.6,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.0
NCX54,9.195,Low Fat,4.8,Household,105.16,OUT017,2007,,Tier 2,Supermarket Type1,1694.0
NCO55,12.8,Low Fat,9.1,Others,105.59,OUT045,2002,,Tier 2,Supermarket Type1,2144.0
NCC30,16.6,Low Fat,2.8,Household,177.63,OUT049,1999,Medium,Tier 1,Supermarket Type1,2677.0
FDI16,14.0,Regular,0.0,Frozen Foods,53.06,OUT035,2004,Small,Tier 2,Supermarket Type1,905.0
FDP16,18.6,Low Fat,3.9,Frozen Foods,246.38,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.0
FDB11,16.0,Low Fat,6.1,Starchy Foods,226.84,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.0
NCB06,17.6,Low Fat,8.2,Health and Hygiene,160.69,OUT035,2004,Small,Tier 2,Supermarket Type1,1598.0
FDA45,21.25,Low Fat,15.5,Snack Foods,178.24,OUT035,2004,Small,Tier 2,Supermarket Type1,529.0
NCO26,7.235,Low Fat,7.7,Household,117.55,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.0
DRJ25,14.6,Low Fat,15.1,Soft Drinks,50.37,OUT017,2007,,Tier 2,Supermarket Type1,1035.0
FDR28,13.85,reg,2.6,Frozen Foods,161.52,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.0
FDI04,13.65,Regular,7.3,Frozen Foods,197.64,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.0
DRK12,,Low Fat,4.2,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,899.0
FDX20,7.365,Low Fat,4.3,Fruits and Vegetables,226.17,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.0
NCI18,18.35,Low Fat,1.4,Household,223.57,OUT018,2009,Medium,Tier 3,Supermarket Type2,3590.0
FDB36,5.465,Regular,0.0,Baking Goods,132.56,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.0
FDN13,18.6,Low Fat,15.3,Breakfast,99.84,OUT017,2007,,Tier 2,Supermarket Type1,1910.0
DRD24,13.85,Low Fat,3.1,Soft Drinks,140.92,OUT017,2007,,Tier 2,Supermarket Type1,1702.0
FDQ28,14.0,Regular,6.0,Frozen Foods,154.57,OUT013,1987,High,Tier 3,Supermarket Type1,2471.0
FDM22,14.0,Regular,4.2,Snack Foods,54.76,OUT013,1987,High,Tier 3,Supermarket Type1,1332.0
FDR07,,Low Fat,7.7,Fruits and Vegetables,97.01,OUT027,1985,Medium,Tier 3,Supermarket Type3,1809.0
FDV25,5.905,Low Fat,4.6,Canned,222.55,OUT018,2009,Medium,Tier 3,Supermarket Type2,3316.0
DRF49,7.27,Low Fat,7.1,Soft Drinks,114.25,OUT046,1997,Small,Tier 1,Supermarket Type1,2619.0
FDW51,6.155,Regular,9.5,Meat,214.56,OUT046,1997,Small,Tier 1,Supermarket Type1,2770.0
DRL01,19.5,Regular,7.8,Soft Drinks,233.5,OUT017,2007,,Tier 2,Supermarket Type1,5375.0
FDP25,15.2,Low Fat,2.1,Canned,216.88,OUT017,2007,,Tier 2,Supermarket Type1,2839.0
FDL50,12.15,Regular,4.2,Canned,125.0,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.0
NCB30,,Low Fat,2.6,Household,198.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,5555.0
FDW11,12.6,Low Fat,4.9,Breads,61.92,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.0
NCM43,14.5,Low Fat,1.9,Others,164.82,OUT035,2004,Small,Tier 2,Supermarket Type1,2121.0
FDK44,16.6,Low Fat,12.3,Fruits and Vegetables,173.07,OUT017,2007,,Tier 2,Supermarket Type1,3823.0
FDM15,11.8,Regular,5.7,Meat,151.44,OUT013,1987,High,Tier 3,Supermarket Type1,1360.0
FDS31,13.1,Regular,4.4,Fruits and Vegetables,178.83,OUT013,1987,High,Tier 3,Supermarket Type1,3969.0
FDI32,17.7,Low Fat,29.2,Fruits and Vegetables,115.18,OUT010,1998,,Tier 3,Grocery Store,346.0
FDR47,17.85,LF,0.0,Breads,196.58,OUT010,1998,,Tier 3,Grocery Store,585.0
FDB35,12.3,Regular,6.5,Starchy Foods,92.68,OUT045,2002,,Tier 2,Supermarket Type1,1011.0
NCU05,11.8,Low Fat,9.8,Health and Hygiene,81.46,OUT010,1998,,Tier 3,Grocery Store,161.0
DRY23,,Regular,19.1,Soft Drinks,42.11,OUT019,1985,Small,Tier 1,Grocery Store,43.0
FDO24,11.1,Low Fat,17.7,Baking Goods,157.46,OUT045,2002,,Tier 2,Supermarket Type1,3011.0
FDQ28,,Regular,6.0,Frozen Foods,153.07,OUT027,1985,Medium,Tier 3,Supermarket Type3,6024.0
FDV39,11.3,Low Fat,0.7,Meat,198.14,OUT045,2002,,Tier 2,Supermarket Type1,989.0
NCO17,,Low Fat,12.8,Health and Hygiene,117.94,OUT019,1985,Small,Tier 1,Grocery Store,240.0
FDU50,5.75,Regular,7.5,Dairy,112.82,OUT013,1987,High,Tier 3,Supermarket Type1,1374.0
FDT12,,Regular,4.9,Baking Goods,226.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,4740.0
FDK58,11.35,Regular,4.5,Snack Foods,100.0,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012.0
FDO08,,Regular,9.4,Fruits and Vegetables,165.75,OUT019,1985,Small,Tier 1,Grocery Store,658.0
NCW29,14.0,Low Fat,2.9,Health and Hygiene,130.43,OUT049,1999,Medium,Tier 1,Supermarket Type1,779.0
FDE04,19.75,Regular,1.8,Frozen Foods,179.77,OUT045,2002,,Tier 2,Supermarket Type1,2337.0
NCB19,6.525,Low Fat,9.0,Household,85.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,2233.0
FDV15,10.3,Low Fat,14.6,Meat,103.96,OUT049,1999,Medium,Tier 1,Supermarket Type1,1662.0
FDL58,5.78,Regular,7.4,Snack Foods,264.76,OUT049,1999,Medium,Tier 1,Supermarket Type1,4746.0
FDA08,11.85,Regular,5.0,Fruits and Vegetables,164.15,OUT045,2002,,Tier 2,Supermarket Type1,3125.0
FDT43,16.35,Low Fat,2.1,Fruits and Vegetables,50.13,OUT018,2009,Medium,Tier 3,Supermarket Type2,467.0
NCX06,,Low Fat,1.6,Household,182.6,OUT027,1985,Medium,Tier 3,Supermarket Type3,5071.0
FDT20,10.5,Low Fat,4.1,Fruits and Vegetables,37.62,OUT046,1997,Small,Tier 1,Supermarket Type1,541.0
FDB41,19.0,Regular,9.7,Frozen Foods,48.07,OUT046,1997,Small,Tier 1,Supermarket Type1,993.0
NCN55,14.6,Low Fat,6.0,Others,238.85,OUT049,1999,Medium,Tier 1,Supermarket Type1,6009.0
FDE40,,Regular,9.9,Dairy,62.92,OUT027,1985,Medium,Tier 3,Supermarket Type3,2105.0
FDX49,,reg,10.1,Canned,232.63,OUT027,1985,Medium,Tier 3,Supermarket Type3,5360.0
NCM53,18.75,Low Fat,5.2,Health and Hygiene,104.63,OUT045,2002,,Tier 2,Supermarket Type1,746.0
FDE36,5.26,Regular,4.2,Baking Goods,161.89,OUT035,2004,Small,Tier 2,Supermarket Type1,3276.0
FDN57,18.25,Low Fat,5.4,Snack Foods,140.22,OUT045,2002,,Tier 2,Supermarket Type1,1702.0
FDI24,,Low Fat,7.8,Baking Goods,177.94,OUT027,1985,Medium,Tier 3,Supermarket Type3,6705.0
FDI19,15.1,Low Fat,5.2,Meat,242.75,OUT046,1997,Small,Tier 1,Supermarket Type1,4120.0
FDF24,15.5,Regular,4.2,Baking Goods,81.59,OUT010,1998,,Tier 3,Grocery Store,328.0
FDG52,13.65,Low Fat,6.6,Frozen Foods,45.74,OUT049,1999,Medium,Tier 1,Supermarket Type1,781.0
DRF36,16.1,LF,2.4,Soft Drinks,189.38,OUT045,2002,,Tier 2,Supermarket Type1,3631.0
FDS45,,Regular,5.2,Snack Foods,107.36,OUT019,1985,Small,Tier 1,Grocery Store,318.0
FDX40,12.85,Low Fat,16.6,Frozen Foods,39.72,OUT010,1998,,Tier 3,Grocery Store,232.0
DRK12,9.5,LF,4.2,Soft Drinks,32.99,OUT035,2004,Small,Tier 2,Supermarket Type1,133.0
DRC27,13.8,Low Fat,5.8,Dairy,245.18,OUT035,2004,Small,Tier 2,Supermarket Type1,5651.0
FDL58,5.78,Regular,0.0,Snack Foods,263.76,OUT017,2007,,Tier 2,Supermarket Type1,2637.0
NCD30,19.7,Low Fat,2.7,Household,96.07,OUT045,2002,,Tier 2,Supermarket Type1,1272.0
NCZ54,14.65,Low Fat,0.0,Household,161.56,OUT010,1998,,Tier 3,Grocery Store,325.0
FDE10,6.67,Regular,15.1,Snack Foods,130.06,OUT010,1998,,Tier 3,Grocery Store,131.0
FDR44,6.11,Regular,0.0,Fruits and Vegetables,131.3,OUT010,1998,,Tier 3,Grocery Store,261.0
FDP28,13.65,Regular,13.5,Frozen Foods,260.09,OUT010,1998,,Tier 3,Grocery Store,261.0
FDX15,17.2,Low Fat,15.6,Meat,160.66,OUT013,1987,High,Tier 3,Supermarket Type1,3691.0
FDA39,6.32,LF,0.0,Meat,40.28,OUT035,2004,Small,Tier 2,Supermarket Type1,1139.0
FDY24,4.88,Regular,13.4,Baking Goods,52.93,OUT049,1999,Medium,Tier 1,Supermarket Type1,1995.0
FDC60,5.425,Regular,11.5,Baking Goods,88.35,OUT017,2007,,Tier 2,Supermarket Type1,1417.0
FDH28,15.85,Regular,11.0,Frozen Foods,37.25,OUT046,1997,Small,Tier 1,Supermarket Type1,266.0
FDT25,7.5,Low Fat,5.1,Canned,121.71,OUT017,2007,,Tier 2,Supermarket Type1,3553.0
DRJ13,12.65,Low Fat,6.3,Soft Drinks,161.56,OUT013,1987,High,Tier 3,Supermarket Type1,2407.0
NCO07,,Low Fat,1.7,Others,211.96,OUT019,1985,Small,Tier 1,Grocery Store,213.0
FDW20,20.75,Low Fat,2.4,Fruits and Vegetables,124.17,OUT013,1987,High,Tier 3,Supermarket Type1,2956.0
DRF27,,Low Fat,5.0,Dairy,152.13,OUT019,1985,Small,Tier 1,Grocery Store,153.0
FDS49,9.0,Low Fat,0.0,Canned,79.76,OUT035,2004,Small,Tier 2,Supermarket Type1,1650.0
FDX25,,Low Fat,10.2,Canned,181.93,OUT027,1985,Medium,Tier 3,Supermarket Type3,3101.0
NCX42,,Low Fat,0.6,Household,165.65,OUT027,1985,Medium,Tier 3,Supermarket Type3,4769.0
FDG33,,Regular,14.0,Seafood,170.48,OUT027,1985,Medium,Tier 3,Supermarket Type3,3436.0
FDL56,14.1,Low Fat,12.6,Fruits and Vegetables,86.42,OUT045,2002,,Tier 2,Supermarket Type1,1134.0
FDF14,7.55,Low Fat,2.7,Canned,152.33,OUT035,2004,Small,Tier 2,Supermarket Type1,2603.0
NCD06,13.0,Low Fat,9.9,Household,45.41,OUT046,1997,Small,Tier 1,Supermarket Type1,606.0
DRM47,,Low Fat,4.4,Hard Drinks,192.88,OUT027,1985,Medium,Tier 3,Supermarket Type3,2293.0
