Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,Item_Type_Combined,Outlet_Years,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
,2,0.072221801,43.6454,4,1985,125.8362,0,28,0,0,1,1,0,0,1,0,0,0
19.25,1,0.17034855100000001,55.7956,0,1998,163.7868,0,15,0,0,0,0,0,1,1,0,0,0
18.6,0,0.080829372,96.4436,3,2009,2741.7644,2,4,0,1,0,0,0,1,0,0,1,0
18.7,1,0.0,256.6672,3,2009,3068.0064,0,4,0,1,0,0,0,1,0,0,1,0
17.85,1,0.0,93.1436,7,2002,2174.5028,0,11,0,0,0,0,1,0,0,1,0,0
17.5,1,0.097904029,174.8738,8,1997,2085.2856,1,16,0,0,1,1,0,0,0,1,0,0
10.0,0,0.08929113699999999,146.7102,9,1999,3791.0652,2,14,0,1,0,1,0,0,0,1,0,0
,2,0.059511812000000004,128.0678,5,1985,2797.6916,0,28,0,1,0,0,0,1,0,0,0,1
8.85,2,0.113123893,122.5388,3,2009,1609.9044,1,4,0,1,0,0,0,1,0,0,1,0
,2,0.12311145300000001,36.9874,5,1985,388.1614,0,28,0,1,0,0,0,1,0,0,0,1
,1,0.026480953999999998,87.6198,5,1985,2180.495,0,28,0,1,0,0,0,1,0,0,0,1
13.35,1,0.102511504,230.6352,8,1997,3435.528,0,16,0,0,1,1,0,0,0,1,0,0
9.8,1,0.02681843,126.00200000000001,1,1987,2150.534,0,26,1,0,0,0,0,1,0,1,0,0
13.6,1,0.117818348,192.9136,9,1999,2527.3768,0,14,0,1,0,1,0,0,0,1,0,0
21.35,1,0.06910283099999999,259.9278,3,2009,6768.5228,0,4,0,1,0,0,0,1,0,0,1,0
12.15,2,0.042277867000000004,126.5046,1,1987,373.5138,0,26,1,0,0,0,0,1,0,1,0,0
6.42,1,0.08949892599999999,178.1002,0,1998,358.2004,0,15,0,0,0,0,0,1,1,0,0,0
19.6,0,0.0,153.3024,7,2002,2428.8384,2,11,0,0,0,0,1,0,0,1,0,0
10.0,1,0.025879577,265.2226,7,2002,5815.0972,0,11,0,0,0,0,1,0,0,1,0,0
15.85,2,0.121632721,60.622,8,1997,2576.646,0,16,0,0,1,1,0,0,0,1,0,0
,2,0.25539489600000004,196.8794,4,1985,780.3176,0,28,0,0,1,1,0,0,1,0,0,0
7.39,0,0.067779712,143.8812,8,1997,3134.5864,2,16,0,0,1,1,0,0,0,1,0,0
10.195,1,0.159803853,141.5154,1,1987,850.8924,0,26,1,0,0,0,0,1,0,1,0,0
9.895,2,0.028696932,117.0492,1,1987,810.9444,0,26,1,0,0,0,0,1,0,1,0,0
10.895,1,0.065041581,196.3794,2,2007,3121.2704,0,6,0,0,0,0,1,0,0,1,0,0
12.15,0,0.028760012999999997,151.4708,2,2007,4815.0656,2,6,0,0,0,0,1,0,0,1,0,0
7.905,1,0.010053105,249.0408,3,2009,6258.52,0,4,0,1,0,0,0,1,0,0,1,0
9.195,0,0.048157338,106.1622,7,2002,2117.244,2,11,0,0,0,0,1,0,0,1,0,0
8.365,1,0.071958197,38.0506,9,1999,796.9626,1,14,0,1,0,1,0,0,0,1,0,0
15.1,1,0.17348130399999998,194.511,8,1997,4910.275,0,16,0,0,1,1,0,0,0,1,0,0
,1,0.061082177,180.0344,4,1985,892.172,0,28,0,0,1,1,0,0,1,0,0,0
10.0,1,0.0,246.9144,3,2009,3185.1872,0,4,0,1,0,0,0,1,0,0,1,0
7.97,2,0.040071131,87.3514,7,2002,1062.6168,0,11,0,0,0,0,1,0,0,1,0,0
,1,0.012090074,38.2848,5,1985,484.7024,0,28,0,1,0,0,0,1,0,0,0,1
,2,0.15028599,51.0692,4,1985,147.8076,0,28,0,0,1,1,0,0,1,0,0,0
,1,0.026015518999999997,255.8356,5,1985,2543.356,0,28,0,1,0,0,0,1,0,0,0,1
17.7,1,0.195068226,185.4266,0,1998,184.4266,0,15,0,0,0,0,0,1,1,0,0,0
19.35,1,0.033082215,172.5738,6,2004,4865.6664,0,9,0,0,1,0,1,0,0,1,0,0
13.65,2,0.078946455,186.024,7,2002,1118.5439999999999,0,11,0,0,0,0,1,0,0,1,0,0
17.6,1,0.041700756,164.8526,7,2002,2302.3364,1,11,0,0,0,0,1,0,0,1,0,0
8.645,0,0.14342264300000002,95.84100000000001,8,1997,2027.361,2,16,0,0,1,1,0,0,0,1,0,0
15.6,2,0.10529607199999999,170.1764,8,1997,3435.528,0,16,0,0,1,1,0,0,0,1,0,0
15.85,2,0.121531501,59.222,1,1987,599.22,0,26,1,0,0,0,0,1,0,1,0,0
18.25,1,0.0,164.7526,7,2002,4604.6728,0,11,0,0,0,0,1,0,0,1,0,0
7.855,1,0.011324862,189.6188,2,2007,2285.0256,0,6,0,0,0,0,1,0,0,1,0,0
7.825,0,0.186357148,254.3698,9,1999,5580.7356,2,14,0,1,0,1,0,0,0,1,0,0
8.39,2,0.024205661,114.0176,8,1997,2290.3520000000003,0,16,0,0,1,1,0,0,0,1,0,0
12.85,1,0.033230816,172.3422,9,1999,1207.0954,0,14,0,1,0,1,0,0,0,1,0,0
,1,0.113720344,89.9804,4,1985,643.1628,0,28,0,0,1,1,0,0,1,0,0,0
19.0,1,0.11255650699999999,104.9622,2,2007,1587.933,0,6,0,0,0,0,1,0,0,1,0,0
5.905,1,0.0,222.5456,7,2002,5305.0944,0,11,0,0,0,0,1,0,0,1,0,0
7.76,1,0.05935224099999999,101.87,8,1997,1697.79,0,16,0,0,1,1,0,0,0,1,0,0
11.8,2,0.014087057,180.3344,8,1997,1427.4752,0,16,0,0,1,1,0,0,0,1,0,0
16.75,1,0.045230944,187.9556,3,2009,4693.89,0,4,0,1,0,0,0,1,0,0,1,0
,0,0.293417759,194.6136,4,1985,583.2408,2,28,0,0,1,1,0,0,1,0,0,0
,2,0.031382044,171.3764,5,1985,3091.9752,0,28,0,1,0,0,0,1,0,0,0,1
15.5,2,0.12639886,177.0028,2,2007,2479.4392,0,6,0,0,0,0,1,0,0,1,0,0
6.055,1,0.025403897999999998,160.99200000000002,6,2004,2716.4640000000004,0,9,0,0,1,0,1,0,0,1,0,0
,2,0.039057677,155.963,5,1985,3285.723,0,28,0,1,0,0,0,1,0,0,0,1
6.305,2,0.123115764,95.6436,8,1997,661.8052,0,16,0,0,1,1,0,0,0,1,0,0
20.85,1,0.039624006,117.2808,9,1999,1523.3504,0,14,0,1,0,1,0,0,0,1,0,0
20.75,1,0.040421193,122.17299999999999,0,1998,369.519,0,15,0,0,0,0,0,1,1,0,0,0
8.895,1,0.10527411099999999,39.9138,9,1999,690.4346,1,14,0,1,0,1,0,0,0,1,0,0
19.6,1,0.033970195,55.1614,7,2002,1381.535,1,11,0,0,0,0,1,0,0,1,0,0
19.7,1,0.053212652,57.893,6,2004,622.523,0,9,0,0,1,0,1,0,0,1,0,0
9.8,0,0.024378706,114.5492,6,2004,1274.3412,2,9,0,0,1,0,1,0,0,1,0,0
,1,0.009714595,120.0414,4,1985,487.3656,0,28,0,0,1,1,0,0,1,0,0,0
12.15,1,0.131383762,246.046,9,1999,1231.73,0,14,0,1,0,1,0,0,0,1,0,0
8.75,2,0.07461309,187.4556,6,2004,3755.112,0,9,0,0,1,0,1,0,0,1,0,0
,0,0.028459761,149.9708,5,1985,4363.6532,2,28,0,1,0,0,0,1,0,0,0,1
8.75,2,0.07462720099999999,187.8556,8,1997,1314.2892,0,16,0,0,1,1,0,0,0,1,0,0
13.3,1,0.063695084,151.0708,7,2002,1805.6496,0,11,0,0,0,0,1,0,0,1,0,0
,2,0.045797829000000005,178.5344,5,1985,2854.9504,0,28,0,1,0,0,0,1,0,0,0,1
8.31,2,0.11585722300000001,179.1028,9,1999,3896.2616,0,14,0,1,0,1,0,0,0,1,0,0
16.75,2,0.024832806000000002,38.7822,1,1987,667.7974,1,26,1,0,0,0,0,1,0,1,0,0
19.75,1,0.034027909,212.0902,3,2009,3185.853,0,4,0,1,0,0,0,1,0,0,1,0
17.1,2,0.046769599999999995,141.1838,1,1987,2247.7408,0,26,1,0,0,0,0,1,0,1,0,0
10.5,2,0.11657670199999999,163.121,1,1987,1794.3310000000001,0,26,1,0,0,0,0,1,0,1,0,0
6.635,2,0.0,121.3098,7,2002,2530.7058,0,11,0,0,0,0,1,0,0,1,0,0
,1,0.278974075,225.372,4,1985,679.1160000000001,1,28,0,0,1,1,0,0,1,0,0,0
14.15,1,0.035913805,41.4138,1,1987,812.2760000000001,1,26,1,0,0,0,0,1,0,1,0,0
13.3,1,0.079806266,232.53,8,1997,699.09,0,16,0,0,1,1,0,0,0,1,0,0
8.89,1,0.005505481,102.4016,2,2007,2732.4432,0,6,0,0,0,0,1,0,0,1,0,0
,2,0.064625342,176.937,4,1985,176.437,0,28,0,0,1,1,0,0,1,0,0,0
,1,0.071636937,121.7098,5,1985,4097.3332,0,28,0,1,0,0,0,1,0,0,0,1
9.1,2,0.0,173.2054,7,2002,3151.8972,0,11,0,0,0,0,1,0,0,1,0,0
7.5,1,0.032677677999999995,239.0906,9,1999,5942.265,0,14,0,1,0,1,0,0,0,1,0,0
16.85,2,0.160760054,192.4478,2,2007,4843.695,0,6,0,0,0,0,1,0,0,1,0,0
7.485,1,0.06911065,109.0228,6,2004,2542.0244,0,9,0,0,1,0,1,0,0,1,0,0
11.6,1,0.041177505,140.3154,2,2007,2552.6772,1,6,0,0,0,0,1,0,0,1,0,0
11.65,1,0.040081193,227.0694,3,2009,1141.847,0,4,0,1,0,0,0,1,0,0,1,0
13.0,0,0.035307322,47.5034,2,2007,680.4476,2,6,0,0,0,0,1,0,0,1,0,0
12.65,1,0.063017847,159.0578,7,2002,2085.9514,1,11,0,0,0,0,1,0,0,1,0,0
20.25,2,0.171938781,92.512,0,1998,186.424,0,15,0,0,0,0,0,1,1,0,0,0
8.6,2,0.040197932,190.153,6,2004,3036.048,0,9,0,0,1,0,1,0,0,1,0,0
12.6,1,0.049058014000000004,62.7194,2,2007,866.8716,0,6,0,0,0,0,1,0,0,1,0,0
17.7,1,0.01161096,95.041,6,2004,868.8689999999999,0,9,0,0,1,0,1,0,0,1,0,0
14.15,1,0.183507295,82.4276,8,1997,1137.1864,1,16,0,0,1,1,0,0,0,1,0,0
19.25,1,0.102349519,52.7956,2,2007,928.1252,0,6,0,0,0,0,1,0,0,1,0,0
8.88,1,0.08670898699999999,151.7682,1,1987,762.341,1,26,1,0,0,0,0,1,0,1,0,0
20.5,0,0.032835147,40.2822,7,2002,707.0796,2,11,0,0,0,0,1,0,0,1,0,0
,1,0.033809913,180.5976,5,1985,7968.2944,0,28,0,1,0,0,0,1,0,0,0,1
13.5,0,0.07266912,160.292,8,1997,1438.128,2,16,0,0,1,1,0,0,0,1,0,0
,0,0.144338493,224.4404,5,1985,6976.2524,2,28,0,1,0,0,0,1,0,0,0,1
8.89,1,0.009163216,101.7016,0,1998,101.2016,0,15,0,0,0,0,0,1,1,0,0,0
7.855,1,0.011307038,188.5188,3,2009,952.0939999999999,0,4,0,1,0,0,0,1,0,0,1,0
7.235,0,0.076855628,116.0492,8,1997,1969.4364,2,16,0,0,1,1,0,0,0,1,0,0
,1,0.059956876,165.4526,5,1985,5262.4832,0,28,0,1,0,0,0,1,0,0,0,1
6.92,1,0.038532062,60.5852,7,2002,1314.2892,0,11,0,0,0,0,1,0,0,1,0,0
9.3,1,0.043209581,90.8172,2,2007,535.3032,0,6,0,0,0,0,1,0,0,1,0,0
18.5,0,0.056816465,132.1284,0,1998,263.6568,2,15,0,0,0,0,0,1,1,0,0,0
8.02,0,0.019866705,154.5972,6,2004,1402.1748,2,9,0,0,1,0,1,0,0,1,0,0
9.195,0,0.048331717,105.1622,2,2007,1693.7952,2,6,0,0,0,0,1,0,0,1,0,0
12.8,0,0.091221855,105.5938,7,2002,2143.876,2,11,0,0,0,0,1,0,0,1,0,0
16.6,0,0.027622076000000002,177.6344,9,1999,2676.5159999999996,2,14,0,1,0,1,0,0,0,1,0,0
14.0,2,0.0,53.06399999999999,6,2004,905.488,0,9,0,0,1,0,1,0,0,1,0,0
18.6,1,0.039355947,246.3802,9,1999,7370.406,0,14,0,1,0,1,0,0,0,1,0,0
16.0,1,0.060836524,226.8404,6,2004,6301.1312,0,9,0,0,1,0,1,0,0,1,0,0
17.6,0,0.082316506,160.692,6,2004,1597.92,2,9,0,0,1,0,1,0,0,1,0,0
21.25,1,0.155350299,178.237,6,2004,529.311,0,9,0,0,1,0,1,0,0,1,0,0
7.235,0,0.076841095,117.5492,6,2004,1969.4364,2,9,0,0,1,0,1,0,0,1,0,0
14.6,1,0.151419185,50.3692,2,2007,1034.6532,1,6,0,0,0,0,1,0,0,1,0,0
13.85,2,0.026001976,161.52100000000002,3,2009,1794.3310000000001,0,4,0,1,0,0,0,1,0,0,1,0
13.65,2,0.073209447,197.6426,3,2009,2768.3964,0,4,0,1,0,0,0,1,0,0,1,0
,1,0.041683481,31.29,5,1985,898.83,1,28,0,1,0,0,0,1,0,0,0,1
7.365,1,0.042560252,226.172,8,1997,3169.208,0,16,0,0,1,1,0,0,0,1,0,0
18.35,0,0.014081156000000001,223.5746,3,2009,3589.9936,2,4,0,1,0,0,0,1,0,0,1,0
5.465,2,0.0,132.5626,3,2009,262.3252,0,4,0,1,0,0,0,1,0,0,1,0
18.6,1,0.152918384,99.8358,2,2007,1910.1802,0,6,0,0,0,0,1,0,0,1,0,0
13.85,1,0.030969273999999998,140.9154,2,2007,1701.7848,1,6,0,0,0,0,1,0,0,1,0,0
14.0,2,0.06037677599999999,154.5656,1,1987,2471.4496,0,26,1,0,0,0,0,1,0,1,0,0
14.0,2,0.04192285,54.763999999999996,1,1987,1331.6,0,26,1,0,0,0,0,1,0,1,0,0
,1,0.077367431,97.0094,5,1985,1808.9786,0,28,0,1,0,0,0,1,0,0,0,1
5.905,1,0.045838211,222.5456,3,2009,3315.684,0,4,0,1,0,0,0,1,0,0,1,0
7.27,1,0.071077939,114.2518,8,1997,2618.5914,1,16,0,0,1,1,0,0,0,1,0,0
6.155,2,0.09465987099999999,214.55599999999998,8,1997,2769.728,0,16,0,0,1,1,0,0,0,1,0,0
19.5,2,0.077608838,233.4958,2,2007,5375.0034,1,6,0,0,0,0,1,0,0,1,0,0
15.2,1,0.021327477,216.8824,2,2007,2838.9712,0,6,0,0,0,0,1,0,0,1,0,0
12.15,2,0.042485444000000004,125.0046,3,2009,1743.0644,0,4,0,1,0,0,0,1,0,0,1,0
,0,0.025578526,198.8084,5,1985,5555.4352,2,28,0,1,0,0,0,1,0,0,0,1
12.6,1,0.048980800000000005,61.9194,3,2009,619.194,0,4,0,1,0,0,0,1,0,0,1,0
14.5,0,0.019471688,164.821,6,2004,2120.573,2,9,0,0,1,0,1,0,0,1,0,0
16.6,1,0.122918852,173.0738,2,2007,3823.0236,0,6,0,0,0,0,1,0,0,1,0,0
11.8,2,0.057373797000000004,151.4366,1,1987,1360.2294,0,26,1,0,0,0,0,1,0,1,0,0
13.1,2,0.044155597000000005,178.8318,1,1987,3969.4996,0,26,1,0,0,0,0,1,0,1,0,0
17.7,1,0.291865402,115.1834,0,1998,345.5502,0,15,0,0,0,0,0,1,1,0,0,0
17.85,1,0.0,196.5794,0,1998,585.2382,0,15,0,0,0,0,0,1,1,0,0,0
12.3,2,0.064750025,92.6804,7,2002,1010.6844,0,11,0,0,0,0,1,0,0,1,0,0
11.8,0,0.098312421,81.4618,0,1998,161.1236,2,15,0,0,0,0,0,1,1,0,0,0
,2,0.191013663,42.1112,4,1985,42.6112,1,28,0,0,1,1,0,0,1,0,0,0
11.1,1,0.176573035,157.4604,7,2002,3010.7476,0,11,0,0,0,0,1,0,0,1,0,0
,2,0.060134441,153.0656,5,1985,6024.1584,0,28,0,1,0,0,0,1,0,0,0,1
11.3,1,0.0072946519999999996,198.1426,7,2002,988.7130000000001,0,11,0,0,0,0,1,0,0,1,0,0
,0,0.128478462,117.944,4,1985,239.688,2,28,0,0,1,1,0,0,1,0,0,0
5.75,2,0.075107656,112.8176,1,1987,1374.2112,0,26,1,0,0,0,0,1,0,1,0,0
,2,0.049381405999999996,226.8062,5,1985,4739.8302,0,28,0,1,0,0,0,1,0,0,0,1
11.35,2,0.045165795999999994,100.0016,3,2009,1012.0160000000001,0,4,0,1,0,0,0,1,0,0,1,0
,2,0.09415375,165.7526,4,1985,657.8104,0,28,0,0,1,1,0,0,1,0,0,0
14.0,0,0.028907832,130.431,9,1999,778.9860000000001,2,14,0,1,0,1,0,0,0,1,0,0
19.75,2,0.018059621,179.766,7,2002,2336.958,0,11,0,0,0,0,1,0,0,1,0,0
6.525,0,0.09043609400000001,85.0882,9,1999,2233.0932,2,14,0,1,0,1,0,0,0,1,0,0
10.3,1,0.146399712,103.9648,9,1999,1661.8368,0,14,0,1,0,1,0,0,0,1,0,0
5.78,2,0.07426435599999999,264.7568,9,1999,4745.8224,0,14,0,1,0,1,0,0,0,1,0,0
11.85,2,0.050186725999999994,164.1526,7,2002,3124.5994,0,11,0,0,0,0,1,0,0,1,0,0
16.35,1,0.020631654,50.1324,3,2009,467.3916,0,4,0,1,0,0,0,1,0,0,1,0
,0,0.01561108,182.5976,5,1985,5070.7328,2,28,0,1,0,0,0,1,0,0,0,1
10.5,1,0.041395445,37.6164,8,1997,540.6296,0,16,0,0,1,1,0,0,0,1,0,0
19.0,2,0.097313129,48.0718,8,1997,992.7078,0,16,0,0,1,1,0,0,0,1,0,0
14.6,0,0.059582996,238.8538,9,1999,6008.845,2,14,0,1,0,1,0,0,0,1,0,0
,2,0.09866365199999999,62.9194,5,1985,2105.2596,0,28,0,1,0,0,0,1,0,0,0,1
,2,0.101338651,232.63,5,1985,5359.69,0,28,0,1,0,0,0,1,0,0,0,1
18.75,0,0.052146455999999994,104.62799999999999,7,2002,745.696,2,11,0,0,0,0,1,0,0,1,0,0
5.26,2,0.041764487,161.8868,6,2004,3275.736,0,9,0,0,1,0,1,0,0,1,0,0
18.25,1,0.054344185999999996,140.2154,7,2002,1701.7848,0,11,0,0,0,0,1,0,0,1,0,0
,1,0.07836248400000001,177.937,5,1985,6704.606,0,28,0,1,0,0,0,1,0,0,0,1
15.1,1,0.052339069,242.7512,8,1997,4119.9704,0,16,0,0,1,1,0,0,0,1,0,0
15.5,2,0.042464962,81.5934,0,1998,327.5736,0,15,0,0,0,0,0,1,1,0,0,0
13.65,1,0.06573288299999999,45.7402,9,1999,780.9834,0,14,0,1,0,1,0,0,0,1,0,0
16.1,1,0.023625114,189.3846,7,2002,3630.6074,1,11,0,0,0,0,1,0,0,1,0,0
,2,0.051643608,107.3622,4,1985,317.5866,0,28,0,0,1,1,0,0,1,0,0,0
12.85,1,0.165694219,39.7164,0,1998,231.6984,0,15,0,0,0,0,0,1,1,0,0,0
9.5,1,0.041878397000000005,32.99,6,2004,133.16,1,9,0,0,1,0,1,0,0,1,0,0
13.8,1,0.058091482,245.1802,6,2004,5650.6446,1,9,0,0,1,0,1,0,0,1,0,0
5.78,2,0.0,263.7568,2,2007,2636.5679999999998,0,6,0,0,0,0,1,0,0,1,0,0
19.7,0,0.026903714,96.0726,7,2002,1272.3438,2,11,0,0,0,0,1,0,0,1,0,0
14.65,0,0.0,161.5552,0,1998,324.9104,2,15,0,0,0,0,0,1,1,0,0,0
6.67,2,0.150554711,130.0626,0,1998,131.1626,0,15,0,0,0,0,0,1,1,0,0,0
6.11,2,0.0,131.2968,0,1998,260.9936,0,15,0,0,0,0,0,1,1,0,0,0
13.65,2,0.13497562800000001,260.0936,0,1998,260.9936,0,15,0,0,0,0,0,1,1,0,0,0
17.2,1,0.15616879,160.6578,1,1987,3690.5294,0,26,1,0,0,0,0,1,0,1,0,0
6.32,1,0.0,40.2822,6,2004,1139.1838,0,9,0,0,1,0,1,0,0,1,0,0
4.88,2,0.133700752,52.9298,9,1999,1995.4026,0,14,0,1,0,1,0,0,0,1,0,0
5.425,2,0.115119905,88.3514,2,2007,1416.8224,0,6,0,0,0,0,1,0,0,1,0,0
15.85,2,0.11003099699999999,37.2506,8,1997,265.6542,0,16,0,0,1,1,0,0,0,1,0,0
7.5,1,0.051038045,121.7072,2,2007,3552.7088,0,6,0,0,0,0,1,0,0,1,0,0
12.65,1,0.062837968,161.5578,1,1987,2406.867,1,26,1,0,0,0,0,1,0,1,0,0
,0,0.017116983,211.956,4,1985,213.05599999999998,2,28,0,0,1,1,0,0,1,0,0,0
20.75,1,0.024129332000000003,124.17299999999999,1,1987,2956.152,0,26,1,0,0,0,0,1,0,1,0,0
,1,0.049754975,152.134,4,1985,153.134,1,28,0,0,1,1,0,0,1,0,0,0
9.0,1,0.0,79.7644,6,2004,1649.8524,0,9,0,0,1,0,1,0,0,1,0,0
,1,0.101561568,181.9292,5,1985,3101.2964,0,28,0,1,0,0,0,1,0,0,0,1
,0,0.0059496440000000005,165.6526,5,1985,4769.1254,2,28,0,1,0,0,0,1,0,0,0,1
,2,0.13956116,170.4764,5,1985,3435.528,0,28,0,1,0,0,0,1,0,0,0,1
14.1,1,0.126035694,86.4198,7,2002,1133.8574,0,11,0,0,0,0,1,0,0,1,0,0
7.55,1,0.027164679,152.334,6,2004,2603.278,0,9,0,0,1,0,1,0,0,1,0,0
13.0,0,0.099325278,45.406000000000006,8,1997,605.878,2,16,0,0,1,1,0,0,0,1,0,0
,1,0.04357366,192.8846,5,1985,2293.0152,1,28,0,1,0,0,0,1,0,0,0,1
,2,0.082741482,118.7782,4,1985,119.1782,0,28,0,0,1,1,0,0,1,0,0,0
12.3,2,0.064565202,92.9804,1,1987,1929.4884,0,26,1,0,0,0,0,1,0,1,0,0
,1,0.08455456900000001,109.8912,5,1985,2074.6328,0,28,0,1,0,0,0,1,0,0,0,1
,0,0.058451805,79.9618,5,1985,241.6854,2,28,0,1,0,0,0,1,0,0,0,1
17.25,0,0.113748685,251.3724,7,2002,6795.1548,2,11,0,0,0,0,1,0,0,1,0,0
15.85,0,0.020603511,42.7112,2,2007,639.168,2,6,0,0,0,0,1,0,0,1,0,0
18.85,0,0.052044976,192.1846,6,2004,3248.4382,2,9,0,0,1,0,1,0,0,1,0,0
16.35,2,0.06276442900000001,227.6062,2,2007,7222.5984,0,6,0,0,0,0,1,0,0,1,0,0
14.1,1,0.08797726199999999,229.0668,6,2004,3225.1352,1,9,0,0,1,0,1,0,0,1,0,0
7.905,1,0.010010425,249.0408,6,2004,3755.112,0,9,0,0,1,0,1,0,0,1,0,0
12.0,1,0.033946163,179.3976,1,1987,3440.8544,0,26,1,0,0,0,0,1,0,1,0,0
12.15,2,0.058414678,163.4552,6,2004,974.7312,0,9,0,0,1,0,1,0,0,1,0,0
10.1,1,0.027106459,75.367,9,1999,535.969,0,14,0,1,0,1,0,0,0,1,0,0
17.5,1,0.027022882999999998,262.491,2,2007,5259.82,0,6,0,0,0,0,1,0,0,1,0,0
,1,0.058153409,152.034,4,1985,306.268,1,28,0,0,1,1,0,0,1,0,0,0
17.1,1,0.128937661,112.3886,3,2009,1779.0176,0,4,0,1,0,0,0,1,0,0,1,0
7.785,1,0.088846306,61.451,9,1999,759.012,0,14,0,1,0,1,0,0,0,1,0,0
11.8,2,0.09357779,125.9704,1,1987,1877.556,0,26,1,0,0,0,0,1,0,1,0,0
13.15,2,0.165694678,171.8764,7,2002,3779.0808,0,11,0,0,0,0,1,0,0,1,0,0
,1,0.148392623,41.5796,4,1985,41.2796,0,28,0,0,1,1,0,0,1,0,0,0
8.5,1,0.098438394,51.1324,2,2007,259.66200000000003,0,6,0,0,0,0,1,0,0,1,0,0
8.645,0,0.143303291,96.34100000000001,1,1987,193.082,2,26,1,0,0,0,0,1,0,1,0,0
17.6,2,0.076276208,110.9202,7,2002,1687.8029999999999,0,11,0,0,0,0,1,0,0,1,0,0
9.1,1,0.175103435,127.5362,2,2007,4655.9394,0,6,0,0,0,0,1,0,0,1,0,0
12.8,2,0.023511371,225.9404,1,1987,4950.8888,0,26,1,0,0,0,0,1,0,1,0,0
7.63,1,0.06105276,95.4436,6,2004,1418.154,1,9,0,0,1,0,1,0,0,1,0,0
